nether	adjective	2.90	N EH1 DH ER0	lower
nutritionist	noun	2.90	N UW0 T R IH1 SH AH0 N IH0 S T	a specialist in the study of nutrition
obscenity	noun	2.90	AH0 B S EH1 N IH0 T IY0	the trait of behaving in an obscene manner
orator	noun	2.90	AO1 R AH0 T ER0	a person who delivers a speech or oration
perpetuity	noun	2.90	P ER2 P IH0 T Y UW1 IH0 T IY0	the property of being perpetual (seemingly ceaseless)
platelet	noun	2.90	P L EY1 T L AH0 T	tiny bits of protoplasm found in vertebrate blood; essential for blood clotting
portability	noun	2.90	P AO2 R T AH0 B IH1 L IH0 T IY0	the quality of being light enough to be carried
protectorate	noun	2.90	P R AH0 T EH1 K T ER0 AH0 T	a state or territory partly controlled by (but not a possession of) a stronger state but autonomous in internal affairs; protectorates are established by treaty
psychopathic	adjective	2.90	S AY2 K AH0 P AE1 TH IH0 K	suffering from an undiagnosed mental disorder
randomness	noun	2.90	R AE1 N D AH0 M N AH0 S	(thermodynamics) a thermodynamic quantity representing the amount of energy in a system that is no longer available for doing mechanical work
recitation	noun	2.90	R EH2 S AH0 T EY1 SH AH0 N	written matter that is recited from memory
rectal	adjective	2.90	R EH1 K T AH0 L	of or involving the rectum
reevaluate	verb	2.90	R IY2 IH0 V AE1 L UW0 EY2 T	revise or renew one's assessment
rerun	noun	2.90	R IY1 R AH1 N	a program that is broadcast again
riddance	noun	2.90	R IH1 D AH0 N S	the act of removing or getting rid of something
saucy	adjective	2.90	S AO1 S IY0	characterized by a lightly pert and exuberant quality
sculptural	adjective	2.90	S K AH1 L P CH ER0 AH0 L	relating to or consisting of sculpture
servo	noun	2.90	S ER1 V OW0	control system that converts a small mechanical motion into one requiring much greater power; may include a negative feedback system
snub	noun	2.90	S N AH1 B	an instance of driving away or warding off
spandex	noun	2.90	S P AE1 N D AH0 K S	an elastic synthetic fabric
spew	verb	2.90	S P Y UW1	expel or eject (saliva or phlegm or sputum) from the mouth
sportswear	noun	2.90	S P AO1 R T S W EH2 R	attire worn for sport or for casual wear
steakhouse	noun	2.90	S T EY1 K HH AW2 S	a restaurant that specializes in steaks
stucco	noun	2.90	S T AH1 K OW0	a plaster now made mostly from Portland cement and sand and lime; applied while soft to cover exterior walls or surfaces
suave	adjective	2.90	S W AA1 V	having a sophisticated charm
succinct	adjective	2.90	S AH0 K S IH1 NG K T	briefly giving the gist of something
superficially	adverb	2.90	S UW1 P ER0 F IH2 SH AH0 L IY0	in a superficial manner
telltale	noun	2.90	T EH1 L T EY2 L	someone who gossips indiscreetly
thrower	noun	2.90	TH R OW1 ER0	a person who twists silk or rayon filaments into a thread or yarn
tibia	noun	2.90	T IH1 B IY0 AH0	the inner and thicker of the two bones of the human leg between the knee and ankle
titular	adjective	2.90	T IH1 CH AH0 L ER0	of or relating to a legal title to something
valence	noun	2.90	V EY1 L AH0 N S	(biology) a relative capacity to unite or react or interact as with antigens or a biological substrate
villager	noun	2.90	V IH1 L IH0 JH ER0	one who has lived in a village most of their life
virtuoso	noun	2.90	V ER0 CH UW0 OW1 S OW0	someone who is dazzlingly skilled in any field
wail	noun	2.90	W EY1 L	a cry of sorrow and grief
whitewater	noun	2.90	W AY1 T W AO2 T ER0	frothy water as in rapids or waterfalls
whiz	noun	2.90	W IH1 Z	someone who is dazzlingly skilled in any field
wingman	noun	2.90	W IH1 NG M AH0 N	the pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation
woodruff	noun	2.90	W UH1 D R AH0 F	Old World fragrant stoloniferous perennial having small white flowers and narrow leaves used as flavoring and in sachets; widely cultivated as a ground cover; in some classifications placed in genus Asperula
xenon	noun	2.90	Z IY1 N AA0 N	a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts
acme	noun	2.89	AE1 K M IY0	the highest level or degree attainable; the highest stage of development
adsorption	noun	2.89	AH0 D S AO1 R P SH AH0 N	the accumulation of molecules of a gas to form a thin film on the surface of a solid
antibacterial	noun	2.89	AE2 N T IY0 B AE0 K T IH1 R IY0 AH0 L	any drug that destroys bacteria or inhibits their growth
bearable	adjective	2.89	B EH1 R AH0 B AH0 L	capable of being borne though unpleasant
beltway	noun	2.89	B EH1 L T W EY2	a highway that encircles an urban area so that traffic does not have to pass through the center
calmness	noun	2.89	K AA1 M N AH0 S	steadiness of mind under stress
canny	adjective	2.89	K AE1 N IY0	showing self-interest and shrewdness in dealing with others
chairwoman	noun	2.89	CH EH1 R W UH2 M AH0 N	the officer who presides at the meetings of an organization
cilantro	noun	2.89	S IH0 L AE1 N T R OW2	Old World herb with aromatic leaves and seed resembling parsley
civics	noun	2.89	S IH1 V IH0 K S	the social science of municipal affairs
