dominique	noun	3.21	D AO0 M IH0 N IY1 K	American breed of chicken having barred grey plumage raised for meat and brown eggs
drawback	noun	3.21	D R AO1 B AE2 K	the quality of being a hindrance
elliptical	adjective	3.21	IH0 L IH1 P T IH0 K AH0 L	rounded like an egg
eminence	noun	3.21	EH1 M AH0 N AH0 N S	high status importance owing to marked superiority
fifties	noun	3.21	F IH1 F T IY0 Z	the decade from 1950 to 1959
fragrant	adjective	3.21	F R EY1 G R AH0 N T	pleasant-smelling
generalization	noun	3.21	JH EH2 N ER0 AH0 L IH0 Z EY1 SH AH0 N	reasoning from detailed facts to general principles
genitals	noun	3.21	JH EH1 N AH0 T AH0 L Z	external sex organ
goldsmith	noun	3.21	G OW1 L D S M IH2 TH	an artisan who makes jewelry and other objects out of gold
hermit	noun	3.21	HH ER1 M AH0 T	one retired from society for religious reasons
inquest	noun	3.21	IH1 N K W EH2 S T	an inquiry into the cause of an unexpected death
ionic	noun	3.21	AY2 AA1 N IH0 K	the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia
kali	noun	3.21	K AA1 L IY2	bushy plant of Old World salt marshes and sea beaches having prickly leaves; burned to produce a crude soda ash
kilometre	noun	3.21	K IH2 L AO1 M AH2 T ER0	a metric unit of length equal to 1000 meters (or 0.621371 miles)
laguna	noun	3.21	L AH0 G UW1 N AH0	a body of water cut off from a larger body by a reef of sand or coral
levant	noun	3.21	L AH0 V AE1 N T	a heavy morocco often used in bookbinding
loco	adjective	3.21	L OW1 K OW0	informal or slang terms for mentally irregular
magnolia	noun	3.21	M AE0 G N OW1 L Y AH0	dried bark of various magnolias; used in folk medicine
medial	adjective	3.21	M IY1 D IY0 AH0 L	dividing an animal into right and left halves
mercantile	adjective	3.21	M ER1 K AH0 N T AY2 L	of or relating to the economic system of mercantilism
migratory	adjective	3.21	M AY1 G R AH0 T AO2 R IY0	used of animals that move seasonally
modernist	noun	3.21	M AA1 D ER0 N IH0 S T	an artist who makes a deliberate break with previous styles
mover	noun	3.21	M UW1 V ER0	workman employed by a moving company
nomenclature	noun	3.21	N OW1 M AH0 N K L EY2 CH ER0	a system of words used to name things in a particular discipline
outback	noun	3.21	AW1 T B AE2 K	the bush country of the interior of Australia
panoramic	adjective	3.21	P AE2 N ER0 AE1 M IH0 K	as from an altitude or distance
pave	noun	3.21	P EY1 V	a setting with precious stones so closely set that no metal shows
philanthropic	adjective	3.21	F IH2 L AH0 N TH R AA1 P IH0 K	generous in assistance to the poor
playhouse	noun	3.21	P L EY1 HH AW2 S	plaything consisting of a small model of a house that children can play inside of
plow	noun	3.21	P L AW1	a farm tool having one or more heavy blades to break the soil and cut a furrow prior to sowing
preferential	adjective	3.21	P R EH2 F ER0 EH1 N SH AH0 L	manifesting partiality
ramadan	noun	3.21	R AE1 M AH0 D AH0 N	the ninth month of the Islamic calendar; the month of fasting; the holiest period for the Islamic faith
redirect	verb	3.21	R IY2 D ER0 EH1 K T	channel into a new direction
relentlessly	adverb	3.21	R IH0 L EH1 N T L AH0 S L IY0	in a relentless manner
reusable	adjective	3.21	R IY0 UW1 Z AH0 B AH0 L	capable of being used again
saffron	noun	3.21	S AE1 F R AH0 N	Old World crocus having purple or white flowers with aromatic pungent orange stigmas used in flavoring food
sassy	adjective	3.21	S AE1 S IY0	improperly forward or bold
seneca	noun	3.21	S EH1 N AH0 K AH0	a member of the Iroquoian people formerly living in New York State south of Lake Ontario
soma	noun	3.21	S OW1 M AA0	leafless East Indian vine; its sour milky juice formerly used to make an intoxicating drink
suggestive	adjective	3.21	S AH0 JH EH1 S T IH0 V	tending to suggest or imply
symmetric	adjective	3.21	S AH0 M EH1 T R IH0 K	having similarity in size, shape, and relative position of corresponding parts
tonne	noun	3.21	T AH1 N	a unit of weight equivalent to 1000 kilograms
unfavorable	adjective	3.21	AH2 N F EY1 V ER0 AH0 B AH0 L	not encouraging or approving or pleasing; ; ; ,
unintentionally	adverb	3.21	AH2 N IH0 N T EH1 N SH AH0 N AH0 L IY0	without intention; in an unintentional manner
wield	verb	3.21	W IY1 L D	have and exercise
woodwork	noun	3.21	W UH1 D W ER2 K	work made of wood; especially moldings or stairways or furniture
yellowish	adjective	3.21	Y EH1 L OW0 IH0 SH	of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk
alaskan	noun	3.20	AH0 L AE1 S K AH0 N	a native or resident of Alaska
anew	adverb	3.20	AH0 N UW1	again but in a new or different way
bassist	noun	3.20	B EY1 S IH0 S T	a musician who play the bass viol
