filch	verb	1.97	F IH1 L CH	make off with belongings of others
flamboyantly	adverb	1.97	F L AE0 M B OY1 AH0 N T L IY0	in a fancy colorful manner
fratricide	noun	1.97	F R AE1 T R AH0 S AY2 D	a person who murders their brother or sister
frivolously	adverb	1.97	F R IH1 V AH0 L AH0 S L IY0	in a frivolous manner
fusible	adjective	1.97	F Y UW1 Z AH0 B AH0 L	capable of being melted and fused
generalship	noun	1.97	JH EH1 N ER0 AH0 L SH IH2 P	the leadership ability of a military general
gibe	noun	1.97	JH AY1 B	an aggressive remark directed at a person like a missile and intended to have a telling effect
glibly	adverb	1.97	G L IH1 B L IY0	with superficial plausibility
hanker	verb	1.97	HH AE1 NG K ER0	desire strongly or persistently
heavyset	adjective	1.97	HH EH1 V IY0 S EH2 T	having a short and solid form or stature
heliotrope	noun	1.97	HH IY1 L IY0 AH0 T R OW2 P	green chalcedony with red spots that resemble blood
hopefulness	noun	1.97	HH OW1 P F AH0 L N IH0 S	full of hope
hypochondria	noun	1.97	HH AY2 P AH0 K AA1 N D R IY0 AH0	chronic and abnormal anxiety about imaginary symptoms and ailments
hyssop	noun	1.97	HH IH1 S AH0 P	a European mint with aromatic and pungent leaves used in perfumery and as a seasoning in cookery; often cultivated as a remedy for bruises; yields hyssop oil
inheritable	adjective	1.97	IH2 N HH EH1 R AH0 T AH0 B AH0 L	capable of being inherited
insectivorous	adjective	1.97	IH2 N S EH0 K T IH1 V ER0 AH0 S	(of animals and plants) feeding on insects
interlink	verb	1.97	IH2 N T ER0 L IH1 NG K	be interwoven or interconnected
irrelevancy	noun	1.97	IH2 R EH1 L AH0 V AH0 N S IY0	the lack of a relation of something to the matter at hand
jewess	noun	1.97	JH UW1 AH0 S	a woman who is a Jew
kentuckian	noun	1.97	K EH2 N T AH1 K IY0 AH0 N	a native or resident of Kentucky
laggard	noun	1.97	L AE1 G ER0 D	someone who takes more time than necessary; someone who lags behind
lank	adjective	1.97	L AE1 NG K	long and thin and often limp
lexicographer	noun	1.97	L EH2 K S IH0 K AA1 G R AH0 F ER0	a compiler or writer of a dictionary; a student of the lexical component of language
liberality	noun	1.97	L IH2 B ER2 AE1 L AH0 T IY2	an inclination to favor progress and individual freedom
masonite	noun	1.97	M AE1 S AH0 N AY2 T	a type of fiberboard
mesmerize	verb	1.97	M EH1 Z M ER0 AY2 Z	attract strongly, as if with a magnet
nitroglycerine	noun	1.97	N AY2 T R OW0 G L IH1 S ER0 AH0 N	a heavy yellow poisonous oily explosive liquid obtained by nitrating glycerol; used in making explosives and medically as a vasodilator (trade names Nitrospan and Nitrostat)
oleo	noun	1.97	OW1 L IY0 OW2	a spread made chiefly from vegetable oils and used as a substitute for butter
overvalue	verb	1.97	OW1 V ER0 V AE2 L Y UW0	assign too high a value to
phonic	adjective	1.97	F AA1 N IH0 K	pertaining to the phonic method of teaching reading
quahog	noun	1.97	K W AA1 HH AO2 G	Atlantic coast round clams with hard shells; large clams usually used for chowders or other clam dishes
ranker	noun	1.97	R AE1 NG K ER0	a commissioned officer who has been promoted from enlisted status
reasoner	noun	1.97	R IY1 Z AH0 N ER0	someone who reasons logically
retinoblastoma	noun	1.97	R EH2 T IH0 N OW2 B L AE2 S T OW1 M AH0	malignant ocular tumor of retinal cells; usually occurs before the third year of life; composed of primitive small round retinal cells
seminarian	noun	1.97	S EH2 M AH0 N EH1 R IY0 AH0 N	a student at a seminary (especially a Roman Catholic seminary)
separateness	noun	1.97	S EH1 P ER0 AH0 T N AH0 S	the state of being several and distinct
shipwright	noun	1.97	SH IH1 P R AY2 T	a carpenter who helps build and launch wooden vessels
soja	noun	1.97	S OW1 JH AH0	erect bushy hairy annual herb having trifoliate leaves and purple to pink flowers; extensively cultivated for food and forage and soil improvement but especially for its nutritious oil-rich seeds; native to Asia
straightedge	noun	1.97	S T R EY1 T EH2 JH	hand tool consisting of a flat rigid rectangular bar (metal or wood) that can be used to draw straight lines (or test their straightness)
tatu	noun	1.97	T AA2 T UW1	about three feet long exclusive of tail
topknot	noun	1.97	T AA1 P N AA2 T	headdress consisting of a decorative ribbon or bow worn in the hair
trackball	noun	1.97	T R AE1 K B AO2 L	an electronic device consisting of a rotatable ball in a housing; used to position the cursor and move images on a computer screen
tweedle	verb	1.97	T W IY1 D AH0 L	sing in modulation
unsubtle	adjective	1.97	AH0 N S AH1 T AH0 L	lacking subtlety; obvious
arteriosclerosis	noun	1.96	AA0 R T IH2 R IY0 OW0 S K L ER0 OW1 S AH0 S	sclerosis of the arterial walls
bitterroot	noun	1.96	B IH1 T ER0 R UW2 T	showy succulent ground-hugging plant of Rocky Mountains regions having deep to pale pink flowers and fleshy farinaceous roots; the Montana state flower
coloratura	noun	1.96	K AH0 L ER0 AH0 T UH1 R AH0	a lyric soprano who specializes in coloratura vocal music
conjunctiva	noun	1.96	K AA2 N JH AH0 NG K T AY1 V AH0	a transparent lubricating mucous membrane that covers the eyeball and the under surface of the eyelid
diatomic	adjective	1.96	D AY2 AH0 T AA1 M IH0 K	of or relating to a molecule made up of two atoms
edify	verb	1.96	EH1 D AH0 F AY2	make understand
elusiveness	noun	1.96	IH0 L UW1 S IH0 V N AH0 S	the quality of being difficult to grasp or pin down
flyway	noun	1.96	F L AY1 W EY2	the geographic route along which birds customarily migrate
foolery	noun	1.96	F UW1 L ER0 IY0	foolish or senseless behavior
fretful	adjective	1.96	F R EH1 T F AH0 L	nervous and unable to relax
friary	noun	1.96	F R AY1 ER0 IY0	a monastery of friars
gobbledygook	noun	1.96	G AA2 B AH0 L D IY0 G UH1 K	incomprehensible or pompous jargon of specialists
grazier	noun	1.96	G R EY1 Z IY0 ER0	a rancher who grazes cattle or sheep for market
hazan	noun	1.96	HH EY1 Z AH0 N	the official of a synagogue who conducts the liturgical part of the service and sings or chants the prayers intended to be performed as solos
heatedly	adverb	1.96	HH IY1 T IH0 D L IY0	in a heated manner
hoodwink	verb	1.96	HH UH1 D W IH2 NG K	influence by slyness
incongruously	adverb	1.96	IH2 NG K AO1 NG R UW0 AH0 S L IY0	in an incongruous manner
intrepidity	noun	1.96	IH2 N T R EH1 P IH0 D AH0 T IY2	resolute courageousness
jeroboam	noun	1.96	JH EH2 R AH0 B OW1 AH0 M	a large wine bottle (holds 4/5 of a gallon)
landholder	noun	1.96	L AE1 N D HH OW2 L D ER0	a holder or proprietor of land
latitudinal	adjective	1.96	L AE2 T AH0 T UW1 D AH0 N AH0 L	of or relating to latitudes north or south
mazer	noun	1.96	M EY1 Z ER0	a large hardwood drinking bowl
mincer	noun	1.96	M IH1 N S ER0	a kitchen utensil that cuts or chops food (especially meat) into small pieces
minge	noun	1.96	M IH1 N JH	vulgar term for a woman's pubic hair or genitals
misbegotten	adjective	1.96	M IH2 S B AH0 G AA1 T AH0 N	born out of wedlock; - E.A.Freeman
monopolist	noun	1.96	M AH0 N AA1 P AH0 L AH0 S T	someone who monopolizes the means of producing or selling something
nonsectarian	adjective	1.96	N AA2 N S EH0 K T EH1 R IY0 AH0 N	not restricted to one sect or school or party; ; ; - Bertrand Russell
nonsurgical	adjective	1.96	N AA0 N S ER1 JH IH0 K AH0 L	not surgical
